MSG_BNS_num  MSG_UNI_symb                   MSG_magHall_symb        MSG_generators
1.1          P1.1                           P 1                     (x,y,z)
1.2          P1.1'                          P 1'                    (x,y,z);(x,y,z)'
1.3          P1.1'_c[P1]                    P 1 1'c                 (x,y,z);(x,y,z+1/2)'
2.4          P-1.1                          -P 1                    (-x,-y,-z)
2.5          P-1.1'                         -P 1'                   (-x,-y,-z);(x,y,z)'
2.6          P-1'                           P -1'                   (-x,-y,-z)'
2.7          P-1.1'_c[P-1]                  -P 1 1'c                (-x,-y,-z);(x,y,z+1/2)'
3.1          P2.1                           P 2y                    (-x,y,-z)
3.2          P2.1'                          P 2y 1'                 (-x,y,-z);(x,y,z)'
3.3          P2'                            P 2y'                   (-x,y,-z)'
3.4          P2.1'_a[P2]                    P 2y 1'a                (-x,y,-z);(x+1/2,y,z)'
3.5          P2.1'_b[P2]                    P 2y 1'b                (-x,y,-z);(x,y+1/2,z)'
3.6          P2.1'_C[C2]                    P 2y 1'C                (-x,y,-z);(x+1/2,y+1/2,z)'
4.7          P2_1.1                         P 2yb                   (-x,y+1/2,-z)
4.8          P2_1.1'                        P 2yb 1'                (-x,y+1/2,-z);(x,y,z)'
4.9          P2_1'                          P 2yb'                  (-x,y+1/2,-z)'
4.10         P2_1.1'_a[P2_1]                P 2yb 1'a               (-x,y+1/2,-z);(x+1/2,y,z)'
4.11         P2_1.1'_b[P2]                  P 2yb 1'b               (-x,y+1/2,-z);(x,y+1/2,z)'
4.12         P2_1.1'_C[C2]                  P 2yb 1'C               (-x,y+1/2,-z);(x+1/2,y+1/2,z)'
5.13         C2.1                           C 2y                    (x+1/2,y+1/2,z);(-x,y,-z)
5.14         C2.1'                          C 2y 1'                 (x+1/2,y+1/2,z);(-x,y,-z);(x,y,z)'
5.15         C2'                            C 2y'                   (x+1/2,y+1/2,z);(-x,y,-z)'
5.16         C2.1'_c[C2]                    C 2y 1'c                (x+1/2,y+1/2,z);(-x,y,-z);(x,y,z+1/2)'
5.17         C2.1'_a[P2]                    C 2y 1'a                (x+1/2,y+1/2,z);(-x,y,-z);(x+1/2,y,z)'
6.18         Pm.1                           P -2y                   (x,-y,z)
6.19         Pm.1'                          P -2y 1'                (x,-y,z);(x,y,z)'
6.20         Pm'                            P -2y'                  (x,-y,z)'
6.21         Pm.1'_a[Pm]                    P -2y 1'a               (x,-y,z);(x+1/2,y,z)'
6.22         Pm.1'_b[Pm]                    P -2y 1'b               (x,-y,z);(x,y+1/2,z)'
6.23         Pm.1'_C[Cm]                    P -2y 1'C               (x,-y,z);(x+1/2,y+1/2,z)'
7.24         Pc.1                           P -2yc                  (x,-y,z+1/2)
7.25         Pc.1'                          P -2yc 1'               (x,-y,z+1/2);(x,y,z)'
7.26         Pc'                            P -2yc'                 (x,-y,z+1/2)'
7.27         Pc.1'_a[Pc]                    P -2yc 1'a              (x,-y,z+1/2);(x+1/2,y,z)'
7.28         Pc.1'_c[Pm]                    P -2yc 1'c              (x,-y,z+1/2);(x,y,z+1/2)'
7.29         Pc.1'_b[Pc]                    P -2yc 1'b              (x,-y,z+1/2);(x,y+1/2,z)'
7.30         Pc.1'_C[Cc]                    P -2yc 1'C              (x,-y,z+1/2);(x+1/2,y+1/2,z)'
7.31         Pc.1'_A[Am]                    P -2yc 1'A              (x,-y,z+1/2);(x,y+1/2,z+1/2)'
8.32         Cm.1                           C -2y                   (x+1/2,y+1/2,z);(x,-y,z)
8.33         Cm.1'                          C -2y 1'                (x+1/2,y+1/2,z);(x,-y,z);(x,y,z)'
8.34         Cm'                            C -2y'                  (x+1/2,y+1/2,z);(x,-y,z)'
8.35         Cm.1'_c[Cm]                    C -2y 1'c               (x+1/2,y+1/2,z);(x,-y,z);(x,y,z+1/2)'
8.36         Cm.1'_a[Pm]                    C -2y 1'a               (x+1/2,y+1/2,z);(x,-y,z);(x+1/2,y,z)'
9.37         Cc.1                           C -2yc                  (x+1/2,y+1/2,z);(x,-y,z+1/2)
9.38         Cc.1'                          C -2yc 1'               (x+1/2,y+1/2,z);(x,-y,z+1/2);(x,y,z)'
9.39         Cc'                            C -2yc'                 (x+1/2,y+1/2,z);(x,-y,z+1/2)'
9.40         Cc.1'_c[Cm]                    C -2yc 1'c              (x+1/2,y+1/2,z);(x,-y,z+1/2);(x,y,z+1/2)'
9.41         Cc.1'_a[Pc]                    C -2yc 1'a              (x+1/2,y+1/2,z);(x,-y,z+1/2);(x+1/2,y,z)'
10.42        P2/m.1                         -P 2y                   (-x,y,-z);(x,-y,z)
10.43        P2/m.1'                        -P 2y 1'                (-x,y,-z);(x,-y,z);(x,y,z)'
10.44        P2'/m                          P 2y' -1'               (-x,y,-z)';(x,-y,z)
10.45        P2/m'                          P 2y -1'                (-x,y,-z);(x,-y,z)'
10.46        P2'/m'                         -P 2y'                  (-x,y,-z)';(x,-y,z)'
10.47        P2/m.1'_a[P2/m]                -P 2y 1'a               (-x,y,-z);(x,-y,z);(x+1/2,y,z)'
10.48        P2/m.1'_b[P2/m]                -P 2y 1'b               (-x,y,-z);(x,-y,z);(x,y+1/2,z)'
10.49        P2/m.1'_C[C2/m]                -P 2y 1'C               (-x,y,-z);(x,-y,z);(x+1/2,y+1/2,z)'
11.50        P2_1/m.1                       -P 2yb                  (-x,y+1/2,-z);(x,-y+1/2,z)
11.51        P2_1/m.1'                      -P 2yb 1'               (-x,y+1/2,-z);(x,-y+1/2,z);(x,y,z)'
11.52        P2_1'/m                        P 2yb' -1'              (-x,y+1/2,-z)';(x,-y+1/2,z)
11.53        P2_1/m'                        P 2yb -1'               (-x,y+1/2,-z);(x,-y+1/2,z)'
11.54        P2_1'/m'                       -P 2yb'                 (-x,y+1/2,-z)';(x,-y+1/2,z)'
11.55        P2_1/m.1'_a[P2_1/m]            -P 2yb 1'a              (-x,y+1/2,-z);(x,-y+1/2,z);(x+1/2,y,z)'
11.56        P2_1/m.1'_b[P2/m]              -P 2yb 1'b              (-x,y+1/2,-z);(x,-y+1/2,z);(x,y+1/2,z)'
11.57        P2_1/m.1'_C[C2/m]              -P 2yb 1'C              (-x,y+1/2,-z);(x,-y+1/2,z);(x+1/2,y+1/2,z)'
12.58        C2/m.1                         -C 2y                   (x+1/2,y+1/2,z);(-x,y,-z);(x,-y,z)
12.59        C2/m.1'                        -C 2y 1'                (x+1/2,y+1/2,z);(-x,y,-z);(x,-y,z);(x,y,z)'
12.60        C2'/m                          C 2y' -1'               (x+1/2,y+1/2,z);(-x,y,-z)';(x,-y,z)
12.61        C2/m'                          C 2y -1'                (x+1/2,y+1/2,z);(-x,y,-z);(x,-y,z)'
12.62        C2'/m'                         -C 2y'                  (x+1/2,y+1/2,z);(-x,y,-z)';(x,-y,z)'
12.63        C2/m.1'_c[C2/m]                -C 2y 1'c               (x+1/2,y+1/2,z);(-x,y,-z);(x,-y,z);(x,y,z+1/2)'
12.64        C2/m.1'_a[P2/m]                -C 2y 1'a               (x+1/2,y+1/2,z);(-x,y,-z);(x,-y,z);(x+1/2,y,z)'
13.65        P2/c.1                         -P 2yc                  (-x,y,-z+1/2);(x,-y,z+1/2)
13.66        P2/c.1'                        -P 2yc 1'               (-x,y,-z+1/2);(x,-y,z+1/2);(x,y,z)'
13.67        P2'/c                          P 2yc' -1'              (-x,y,-z+1/2)';(x,-y,z+1/2)
13.68        P2/c'                          P 2yc -1'               (-x,y,-z+1/2);(x,-y,z+1/2)'
13.69        P2'/c'                         -P 2yc'                 (-x,y,-z+1/2)';(x,-y,z+1/2)'
13.70        P2/c.1'_a[P2/c]                -P 2yc 1'a              (-x,y,-z+1/2);(x,-y,z+1/2);(x+1/2,y,z)'
13.71        P2/c.1'_b[P2/c]                -P 2yc 1'b              (-x,y,-z+1/2);(x,-y,z+1/2);(x,y+1/2,z)'
13.72        P2/c.1'_c[P2/m]                -P 2yc 1'c              (-x,y,-z+1/2);(x,-y,z+1/2);(x,y,z+1/2)'
13.73        P2/c.1'_A[A2/m]                -P 2yc 1'A              (-x,y,-z+1/2);(x,-y,z+1/2);(x,y+1/2,z+1/2)'
13.74        P2/c.1'_C[C2/c]                -P 2yc 1'C              (-x,y,-z+1/2);(x,-y,z+1/2);(x+1/2,y+1/2,z)'
14.75        P2_1/c.1                       -P 2ybc                 (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2)
14.76        P2_1/c.1'                      -P 2ybc 1'              (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x,y,z)'
14.77        P2_1'/c                        P 2ybc' -1'             (-x,y+1/2,-z+1/2)';(x,-y+1/2,z+1/2)
14.78        P2_1/c'                        P 2ybc -1'              (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2)'
14.79        P2_1'/c'                       -P 2ybc'                (-x,y+1/2,-z+1/2)';(x,-y+1/2,z+1/2)'
14.80        P2_1/c.1'_a[P2_1/c]            -P 2ybc 1'a             (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y,z)'
14.81        P2_1/c.1'_b[P2/c]              -P 2ybc 1'b             (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x,y+1/2,z)'
14.82        P2_1/c.1'_c[P2_1/m]            -P 2ybc 1'c             (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x,y,z+1/2)'
14.83        P2_1/c.1'_A[A2/m]              -P 2ybc 1'A             (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x,y+1/2,z+1/2)'
14.84        P2_1/c.1'_C[C2/c]              -P 2ybc 1'C             (-x,y+1/2,-z+1/2);(x,-y+1/2,z+1/2);(x+1/2,y+1/2,z)'
15.85        C2/c.1                         -C 2yc                  (x+1/2,y+1/2,z);(-x,y,-z+1/2);(x,-y,z+1/2)
15.86        C2/c.1'                        -C 2yc 1'               (x+1/2,y+1/2,z);(-x,y,-z+1/2);(x,-y,z+1/2);(x,y,z)'
15.87        C2'/c                          C 2yc' -1'              (x+1/2,y+1/2,z);(-x,y,-z+1/2)';(x,-y,z+1/2)
15.88        C2/c'                          C 2yc -1'               (x+1/2,y+1/2,z);(-x,y,-z+1/2);(x,-y,z+1/2)'
15.89        C2'/c'                         -C 2yc'                 (x+1/2,y+1/2,z);(-x,y,-z+1/2)';(x,-y,z+1/2)'
15.90        C2/c.1'_c[C2/m]                -C 2yc 1'c              (x+1/2,y+1/2,z);(-x,y,-z+1/2);(x,-y,z+1/2);(x,y,z+1/2)'
15.91        C2/c.1'_a[P2/c]                -C 2yc 1'a              (x+1/2,y+1/2,z);(-x,y,-z+1/2);(x,-y,z+1/2);(x+1/2,y,z)'
16.1         P222.1                         P 2 2                   (x,-y,-z);(-x,y,-z);(-x,-y,z)
16.2         P222.1'                        P 2 2 1'                (x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z)'
16.3         P2'2'2                         P 2' 2'                 (x,-y,-z)';(-x,y,-z)';(-x,-y,z)
16.4         P222.1'_a[P222]                P 2 2 1'a               (x,-y,-z);(-x,y,-z);(-x,-y,z);(x+1/2,y,z)'
16.5         P222.1'_C[C222]                P 2 2 1'C               (x,-y,-z);(-x,y,-z);(-x,-y,z);(x+1/2,y+1/2,z)'
16.6         P222.1'_I[I222]                P 2 2 1'I               (x,-y,-z);(-x,y,-z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
17.7         P222_1.1                       P 2c 2                  (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2)
17.8         P222_1.1'                      P 2c 2 1'               (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x,y,z)'
17.9         P2'2'2_1                       P 2c 2'                 (x,-y,-z)';(-x,y,-z+1/2)';(-x,-y,z+1/2)
17.10        P22'2_1'                       P 2c' 2                 (x,-y,-z);(-x,y,-z+1/2)';(-x,-y,z+1/2)'
17.11        P222_1.1'_a[P222_1]            P 2c 2 1'a              (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x+1/2,y,z)'
17.12        P222_1.1'_c[P222]              P 2c 2 1'c              (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x,y,z+1/2)'
17.13        P222_1.1'_B[B222]              P 2c 2 1'B              (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x+1/2,y,z+1/2)'
17.14        P222_1.1'_C[C222_1]            P 2c 2 1'C              (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x+1/2,y+1/2,z)'
17.15        P222_1.1'_I[I2_12_12_1]        P 2c 2 1'I              (x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x+1/2,y+1/2,z+1/2)'
18.16        P2_12_12.1                     P 2 2ab                 (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z)
18.17        P2_12_12.1'                    P 2 2ab 1'              (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x,y,z)'
18.18        P2_1'2_1'2                     P 2 2ab'                (x+1/2,-y+1/2,-z)';(-x+1/2,y+1/2,-z)';(-x,-y,z)
18.19        P2_12_1'2'                     P 2' 2ab                (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z)';(-x,-y,z)'
18.20        P2_12_12.1'_b[P2_122]          P 2 2ab 1'b             (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x,y+1/2,z)'
18.21        P2_12_12.1'_c[P2_12_12]        P 2 2ab 1'c             (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x,y,z+1/2)'
18.22        P2_12_12.1'_B[B22_12]          P 2 2ab 1'B             (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x+1/2,y,z+1/2)'
18.23        P2_12_12.1'_C[C222]            P 2 2ab 1'C             (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x+1/2,y+1/2,z)'
18.24        P2_12_12.1'_I[I222]            P 2 2ab 1'I             (x+1/2,-y+1/2,-z);(-x+1/2,y+1/2,-z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
19.25        P2_12_12_1.1                   P 2ac 2ab               (x+1/2,-y+1/2,-z);(-x,y+1/2,-z+1/2);(-x+1/2,-y,z+1/2)
19.26        P2_12_12_1.1'                  P 2ac 2ab 1'            (x+1/2,-y+1/2,-z);(-x,y+1/2,-z+1/2);(-x+1/2,-y,z+1/2);(x,y,z)'
19.27        P2_1'2_1'2_1                   P 2ac 2ab'              (x+1/2,-y+1/2,-z)';(-x,y+1/2,-z+1/2)';(-x+1/2,-y,z+1/2)
19.28        P2_12_12_1.1'_c[P2_12_12]      P 2ac 2ab 1'c           (x+1/2,-y+1/2,-z);(-x,y+1/2,-z+1/2);(-x+1/2,-y,z+1/2);(x,y,z+1/2)'
19.29        P2_12_12_1.1'_C[C222_1]        P 2ac 2ab 1'C           (x+1/2,-y+1/2,-z);(-x,y+1/2,-z+1/2);(-x+1/2,-y,z+1/2);(x+1/2,y+1/2,z)'
19.30        P2_12_12_1.1'_I[I2_12_12_1]    P 2ac 2ab 1'I           (x+1/2,-y+1/2,-z);(-x,y+1/2,-z+1/2);(-x+1/2,-y,z+1/2);(x+1/2,y+1/2,z+1/2)'
20.31        C222_1.1                       C 2c 2                  (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2)
20.32        C222_1.1'                      C 2c 2 1'               (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x,y,z)'
20.33        C2'2'2_1                       C 2c 2'                 (x+1/2,y+1/2,z);(x,-y,-z)';(-x,y,-z+1/2)';(-x,-y,z+1/2)
20.34        C22'2_1'                       C 2c' 2                 (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2)';(-x,-y,z+1/2)'
20.35        C222_1.1'_c[C222]              C 2c 2 1'c              (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x,y,z+1/2)'
20.36        C222_1.1'_a[P222_1]            C 2c 2 1'a              (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x+1/2,y,z)'
20.37        C222_1.1'_A[F222]              C 2c 2 1'A              (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z+1/2);(-x,-y,z+1/2);(x,y+1/2,z+1/2)'
21.38        C222.1                         C 2 2                   (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z);(-x,-y,z)
21.39        C222.1'                        C 2 2 1'                (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z)'
21.40        C2'2'2                         C 2 2'                  (x+1/2,y+1/2,z);(x,-y,-z)';(-x,y,-z)';(-x,-y,z)
21.41        C22'2'                         C 2' 2                  (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z)';(-x,-y,z)'
21.42        C222.1'_c[C222]                C 2 2 1'c               (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z+1/2)'
21.43        C222.1'_a[P222]                C 2 2 1'a               (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x+1/2,y,z)'
21.44        C222.1'_A[F222]                C 2 2 1'A               (x+1/2,y+1/2,z);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y+1/2,z+1/2)'
22.45        F222.1                         F 2 2                   (x+1/2,y+1/2,z);(x+1/2,y,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z)
22.46        F222.1'                        F 2 2 1'                (x+1/2,y+1/2,z);(x+1/2,y,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z)'
22.47        F2'2'2                         F 2 2'                  (x+1/2,y+1/2,z);(x+1/2,y,z+1/2);(x,-y,-z)';(-x,y,-z)';(-x,-y,z)
22.48        F222.1'_I[P222]                F 2 2 1'n               (x+1/2,y+1/2,z);(x+1/2,y,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
23.49        I222.1                         I 2 2                   (x+1/2,y+1/2,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z)
23.50        I222.1'                        I 2 2 1'                (x+1/2,y+1/2,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z)'
23.51        I2'2'2                         I 2 2'                  (x+1/2,y+1/2,z+1/2);(x,-y,-z)';(-x,y,-z)';(-x,-y,z)
23.52        I222.1'_c[C222]                I 2 2 1'c               (x+1/2,y+1/2,z+1/2);(x,-y,-z);(-x,y,-z);(-x,-y,z);(x,y,z+1/2)'
24.53        I2_12_12_1.1                   I 2b 2c                 (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z)
24.54        I2_12_12_1.1'                  I 2b 2c 1'              (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z);(x,y,z)'
24.55        I2_1'2_1'2_1                   I 2b 2c'                (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2)';(-x+1/2,y,-z)';(-x,-y+1/2,z)
24.56        I2_12_12_1.1'_c[C222]          I 2ac 2ab 1'c           (x+1/2,y+1/2,z+1/2);(x,-y,-z+1/2);(-x+1/2,y,-z);(-x,-y+1/2,z);(x,y,z+1/2)'
25.57        Pmm2.1                         P 2 -2                  (-x,y,z);(x,-y,z);(-x,-y,z)
25.58        Pmm2.1'                        P 2 -2 1'               (-x,y,z);(x,-y,z);(-x,-y,z);(x,y,z)'
25.59        Pm'm2'                         P 2' -2'                (-x,y,z)';(x,-y,z);(-x,-y,z)'
25.60        Pm'm'2                         P 2 -2'                 (-x,y,z)';(x,-y,z)';(-x,-y,z)
25.61        Pmm2.1'_c[Pmm2]                P 2 -2 1'c              (-x,y,z);(x,-y,z);(-x,-y,z);(x,y,z+1/2)'
25.62        Pmm2.1'_a[Pmm2]                P 2 -2 1'a              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y,z)'
25.63        Pmm2.1'_C[Cmm2]                P 2 -2 1'C              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y+1/2,z)'
25.64        Pmm2.1'_A[Amm2]                P 2 -2 1'A              (-x,y,z);(x,-y,z);(-x,-y,z);(x,y+1/2,z+1/2)'
25.65        Pmm2.1'_I[Imm2]                P 2 -2 1'I              (-x,y,z);(x,-y,z);(-x,-y,z);(x+1/2,y+1/2,z+1/2)'
26.66        Pmc2_1.1                       P 2c -2                 (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2)
26.67        Pmc2_1.1'                      P 2c -2 1'              (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y,z)'
26.68        Pm'c2_1'                       P 2c' -2'               (-x,y,z)';(x,-y,z+1/2);(-x,-y,z+1/2)'
26.69        Pmc'2_1'                       P 2c' -2                (-x,y,z);(x,-y,z+1/2)';(-x,-y,z+1/2)'
26.70        Pm'c'2_1                       P 2c -2'                (-x,y,z)';(x,-y,z+1/2)';(-x,-y,z+1/2)
26.71        Pmc2_1.1'_a[Pmc2_1]            P 2c -2 1'a             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y,z)'
26.72        Pmc2_1.1'_b[Pmc2_1]            P 2c -2 1'b             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y+1/2,z)'
26.73        Pmc2_1.1'_c[Pmm2]              P 2c -2 1'c             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y,z+1/2)'
26.74        Pmc2_1.1'_A[Amm2]              P 2c -2 1'A             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x,y+1/2,z+1/2)'
26.75        Pmc2_1.1'_B[Bma2]              P 2c -2 1'B             (-x,y,z);(x,-y,z+1/2);(-x,-y,z+1/2);(x+1/2,y,z+1/2)'
