p1; P 1
p-1; P -1
p2; P2
p121; P 1 2 1
p2(b); P2 (b)
p2[b]; P2 [b]
p112; P 1 1 2
p2(c); P2 (c)
p2[c]; P2 [c]
p211; P 2 1 1
p2(a); P2 (a)
p2[a]; P2 [a]
p2_1; P2_1
p12_11; P 1 2_1 1
p2_1(b); P2_1 (b)
p2_1[b]; P2_1 [b]
p112_1; P 1 1 2_1
p2_1(c); P2_1 (c)
p2_1[c]; P2_1 [c]
p2_111; P 2_1 1 1
p2_1(a); P2_1 (a)
p2_1[a]; P2_1 [a]
c2; C2
c121; C 1 2 1
c2(b1); C2 (b1)
c2[b1]; C2 [b1]
a121; A 1 2 1
c2(b2); C2 (b2)
c2[b2]; C2 [b2]
i121; I 1 2 1
c2(b3); C2 (b3)
c2[b3]; C2 [b3]
a112; A 1 1 2
c2(c1); C2 (c1)
c2[c1]; C2 [c1]
b112; B 1 1 2
c2(c2); C2 (c2)
c2[c2]; C2 [c2]
i112; I 1 1 2
c2(c3); C2 (c3)
c2[c3]; C2 [c3]
b211; B 2 1 1
c2(a1); C2 (a1)
c2[a1]; C2 [a1]
c211; C 2 1 1
c2(a2); C2 (a2)
c2[a2]; C2 [a2]
i211; I 2 1 1
c2(a3); C2 (a3)
c2[a3]; C2 [a3]
pm; Pm
p1m1; P 1 m 1
pm(b); Pm (b)
pm[b]; Pm [b]
p11m; P 1 1 m
pm(c); Pm (c)
pm[c]; Pm [c]
pm11; P m 1 1
pm(a); Pm (a)
pm[a]; Pm [a]
pc; Pc
p1c1; P 1 c 1
pc(b1); Pc (b1)
pc[b1]; Pc [b1]
p1n1; P 1 n 1
pc(b2); Pc (b2)
pc[b2]; Pc [b2]
p1a1; P 1 a 1
pc(b3); Pc (b3)
pc[b3]; Pc [b3]
p11a; P 1 1 a
pc(c1); Pc (c1)
pc[c1]; Pc [c1]
p11n; P 1 1 n
pc(c2); Pc (c2)
pc[c2]; Pc [c2]
p11b; P 1 1 b
pc(c3); Pc (c3)
pc[c3]; Pc [c3]
pb11; P b 1 1
pc(a1); Pc (a1)
pc[a1]; Pc [a1]
pn11; P n 1 1
pc(a2); Pc (a2)
pc[a2]; Pc [a2]
pc11; P c 1 1
pc(a3); Pc (a3)
pc[a3]; Pc [a3]
cm; Cm
c1m1; C 1 m 1
cm(b1); Cm (b1)
cm[b1]; Cm [b1]
a1m1; A 1 m 1
cm(b2); Cm (b2)
cm[b2]; Cm [b2]
i1m1; I 1 m 1
cm(b3); Cm (b3)
cm[b3]; Cm [b3]
a11m; A 1 1 m
cm(c1); Cm (c1)
cm[c1]; Cm [c1]
b11m; B 1 1 m
cm(c2); Cm (c2)
cm[c2]; Cm [c2]
i11m; I 1 1 m
cm(c3); Cm (c3)
cm[c3]; Cm [c3]
bm11; B m 1 1
cm(a1); Cm (a1)
cm[a1]; Cm [a1]
cm11; C m 1 1
cm(a2); Cm (a2)
cm[a2]; Cm [a2]
im11; I m 1 1
cm(a3); Cm (a3)
cm[a3]; Cm [a3]
cc; Cc
c1c1; C 1 c 1
cc(b1); Cc (b1)
cc[b1]; Cc [b1]
a1n1; A 1 n 1
cc(b2); Cc (b2)
cc[b2]; Cc [b2]
i1a1; I 1 a 1
cc(b3); Cc (b3)
cc[b3]; Cc [b3]
a1a1; A 1 a 1
cc(-b1); Cc (-b1)
cc[-b1]; Cc [-b1]
c1n1; C 1 n 1
cc(-b2); Cc (-b2)
cc[-b2]; Cc [-b2]
i1c1; I 1 c 1
cc(-b3); Cc (-b3)
cc[-b3]; Cc [-b3]
a11a; A 1 1 a
cc(c1); Cc (c1)
cc[c1]; Cc [c1]
b11n; B 1 1 n
cc(c2); Cc (c2)
cc[c2]; Cc [c2]
i11b; I 1 1 b
cc(c3); Cc (c3)
cc[c3]; Cc [c3]
b11b; B 1 1 b
cc(-c1); Cc (-c1)
cc[-c1]; Cc [-c1]
a11n; A 1 1 n
cc(-c2); Cc (-c2)
cc[-c2]; Cc [-c2]
i11a; I 1 1 a
cc(-c3); Cc (-c3)
cc[-c3]; Cc [-c3]
bb11; B b 1 1
cc(a1); Cc (a1)
cc[a1]; Cc [a1]
cn11; C n 1 1
cc(a2); Cc (a2)
cc[a2]; Cc [a2]
ic11; I c 1 1
cc(a3); Cc (a3)
cc[a3]; Cc [a3]
cc11; C c 1 1
cc(-a1); Cc (-a1)
cc[-a1]; Cc [-a1]
bn11; B n 1 1
cc(-a2); Cc (-a2)
cc[-a2]; Cc [-a2]
ib11; I b 1 1
cc(-a3); Cc (-a3)
cc[-a3]; Cc [-a3]
p2/m; P2/m
p12/m1; P 1 2/m 1
p2/m(b); P2/m (b)
p2/m[b]; P2/m [b]
p112/m; P 1 1 2/m
p2/m(c); P2/m (c)
p2/m[c]; P2/m [c]
p2/m11; P 2/m 1 1
p2/m(a); P2/m (a)
p2/m[a]; P2/m [a]
p2_1/m; P2_1/m
p12_1/m1; P 1 2_1/m 1
p2_1/m(b); P2_1/m (b)
p2_1/m[b]; P2_1/m [b]
p112_1/m; P 1 1 2_1/m
p2_1/m(c); P2_1/m (c)
p2_1/m[c]; P2_1/m [c]
p2_1/m11; P 2_1/m 1 1
p2_1/m(a); P2_1/m (a)
p2_1/m[a]; P2_1/m [a]
c2/m; C2/m
c12/m1; C 1 2/m 1
c2/m(b1); C2/m (b1)
c2/m[b1]; C2/m [b1]
a12/m1; A 1 2/m 1
c2/m(b2); C2/m (b2)
c2/m[b2]; C2/m [b2]
i12/m1; I 1 2/m 1
c2/m(b3); C2/m (b3)
c2/m[b3]; C2/m [b3]
a112/m; A 1 1 2/m
c2/m(c1); C2/m (c1)
c2/m[c1]; C2/m [c1]
b112/m; B 1 1 2/m
c2/m(c2); C2/m (c2)
c2/m[c2]; C2/m [c2]
i112/m; I 1 1 2/m
c2/m(c3); C2/m (c3)
c2/m[c3]; C2/m [c3]
b2/m11; B 2/m 1 1
c2/m(a1); C2/m (a1)
c2/m[a1]; C2/m [a1]
c2/m11; C 2/m 1 1
c2/m(a2); C2/m (a2)
c2/m[a2]; C2/m [a2]
i2/m11; I 2/m 1 1
c2/m(a3); C2/m (a3)
c2/m[a3]; C2/m [a3]
p2/c; P2/c
p12/c1; P 1 2/c 1
p2/c(b1); P2/c (b1)
p2/c[b1]; P2/c [b1]
p12/n1; P 1 2/n 1
p2/c(b2); P2/c (b2)
p2/c[b2]; P2/c [b2]
p12/a1; P 1 2/a 1
p2/c(b3); P2/c (b3)
p2/c[b3]; P2/c [b3]
p112/a; P 1 1 2/a
p2/c(c1); P2/c (c1)
p2/c[c1]; P2/c [c1]
p112/n; P 1 1 2/n
p2/c(c2); P2/c (c2)
p2/c[c2]; P2/c [c2]
p112/b; P 1 1 2/b
p2/c(c3); P2/c (c3)
p2/c[c3]; P2/c [c3]
p2/b11; P 2/b 1 1
p2/c(a1); P2/c (a1)
p2/c[a1]; P2/c [a1]
p2/n11; P 2/n 1 1
p2/c(a2); P2/c (a2)
p2/c[a2]; P2/c [a2]
p2/c11; P 2/c 1 1
p2/c(a3); P2/c (a3)
p2/c[a3]; P2/c [a3]
p2_1/c; P2_1/c
p12_1/c1; P 1 2_1/c 1
p2_1/c(b1); P2_1/c (b1)
p2_1/c[b1]; P2_1/c [b1]
p12_1/n1; P 1 2_1/n 1
p2_1/c(b2); P2_1/c (b2)
p2_1/c[b2]; P2_1/c [b2]
p12_1/a1; P 1 2_1/a 1
p2_1/c(b3); P2_1/c (b3)
p2_1/c[b3]; P2_1/c [b3]
p112_1/a; P 1 1 2_1/a
p2_1/c(c1); P2_1/c (c1)
p2_1/c[c1]; P2_1/c [c1]
p112_1/n; P 1 1 2_1/n
p2_1/c(c2); P2_1/c (c2)
p2_1/c[c2]; P2_1/c [c2]
p112_1/b; P 1 1 2_1/b
p2_1/c(c3); P2_1/c (c3)
p2_1/c[c3]; P2_1/c [c3]
p2_1/b11; P 2_1/b 1 1
p2_1/c(a1); P2_1/c (a1)
p2_1/c[a1]; P2_1/c [a1]
p2_1/n11; P 2_1/n 1 1
p2_1/c(a2); P2_1/c (a2)
p2_1/c[a2]; P2_1/c [a2]
p2_1/c11; P 2_1/c 1 1
p2_1/c(a3); P2_1/c (a3)
p2_1/c[a3]; P2_1/c [a3]
c2/c; C2/c
c12/c1; C 1 2/c 1
c2/c(b1); C2/c (b1)
c2/c[b1]; C2/c [b1]
a12/n1; A 1 2/n 1
c2/c(b2); C2/c (b2)
c2/c[b2]; C2/c [b2]
i12/a1; I 1 2/a 1
c2/c(b3); C2/c (b3)
c2/c[b3]; C2/c [b3]
a12/a1; A 1 2/a 1
c2/c(-b1); C2/c (-b1)
c2/c[-b1]; C2/c [-b1]
c12/n1; C 1 2/n 1
c2/c(-b2); C2/c (-b2)
c2/c[-b2]; C2/c [-b2]
i12/c1; I 1 2/c 1
c2/c(-b3); C2/c (-b3)
c2/c[-b3]; C2/c [-b3]
a112/a; A 1 1 2/a
c2/c(c1); C2/c (c1)
c2/c[c1]; C2/c [c1]
b112/n; B 1 1 2/n
c2/c(c2); C2/c (c2)
c2/c[c2]; C2/c [c2]
i112/b; I 1 1 2/b
c2/c(c3); C2/c (c3)
c2/c[c3]; C2/c [c3]
b112/b; B 1 1 2/b
c2/c(-c1); C2/c (-c1)
c2/c[-c1]; C2/c [-c1]
a112/n; A 1 1 2/n
c2/c(-c2); C2/c (-c2)
c2/c[-c2]; C2/c [-c2]
i112/a; I 1 1 2/a
c2/c(-c3); C2/c (-c3)
c2/c[-c3]; C2/c [-c3]
b2/b11; B 2/b 1 1
c2/c(a1); C2/c (a1)
c2/c[a1]; C2/c [a1]
c2/n11; C 2/n 1 1
c2/c(a2); C2/c (a2)
c2/c[a2]; C2/c [a2]
i2/c11; I 2/c 1 1
c2/c(a3); C2/c (a3)
c2/c[a3]; C2/c [a3]
c2/c11; C 2/c 1 1
c2/c(-a1); C2/c (-a1)
c2/c[-a1]; C2/c [-a1]
b2/n11; B 2/n 1 1
c2/c(-a2); C2/c (-a2)
c2/c[-a2]; C2/c [-a2]
i2/b11; I 2/b 1 1
c2/c(-a3); C2/c (-a3)
c2/c[-a3]; C2/c [-a3]
p222; P 2 2 2
p222_1; P 2 2 2_1
p2_122; P 2_1 2 2
p222_1(cab); P222_1 (cab)
p222_1[cab]; P222_1 [cab]
p22_12; P 2 2_1 2
p222_1(bca); P222_1 (bca)
p222_1[bca]; P222_1 [bca]
p2_12_12; P 2_1 2_1 2
p22_12_1; P 2 2_1 2_1
p2_12_12(cab); P2_12_12 (cab)
p2_12_12[cab]; P2_12_12 [cab]
p2_122_1; P 2_1 2 2_1
p2_12_12(bca); P2_12_12 (bca)
p2_12_12[bca]; P2_12_12 [bca]
p2_12_12_1; P 2_1 2_1 2_1
c222_1; C 2 2 2_1
a2_122; A 2_1 2 2
c222_1(cab); C222_1 (cab)
c222_1[cab]; C222_1 [cab]
b22_12; B 2 2_1 2
c222_1(bca); C222_1 (bca)
c222_1[bca]; C222_1 [bca]
c222; C 2 2 2
a222; A 2 2 2
c222(cab); C222 (cab)
c222[cab]; C222 [cab]
b222; B 2 2 2
c222(bca); C222 (bca)
c222[bca]; C222 [bca]
f222; F 2 2 2
i222; I 2 2 2
i2_12_12_1; I 2_1 2_1 2_1
